Name,Value
Executable,qft
Command,"/mnt/lustre/a2fs-work1/work/d35/d35/kubad35/quantum-circuits/build/qft -q 36 -b 32 -m standard"
"Nodes (nodes)",16
"Physical cores per node (cores/node)",128
"Logical cores per node (cores/node)",256
"Memory per node (B)",269662183424
"Tasks (processes)",16
"Profiled ranks",
"OpenMP threads",128
Machine,nid004208
"Start time","Tue Aug 1 13:38:45 2023"
"Total time (seconds)",269
"Full path",/mnt/lustre/a2fs-work1/work/d35/d35/kubad35/quantum-circuits/build
"Input file",
Notes,
Bound,Compute-bound

"Compute (%)",71.63825757575758
"MPI (%)",28.361742424242426
"I/O (%)",0
"Overview advice","As little time is spent in MPI calls, this code may also benefit from running at larger scales."

"CPU Single-core code (%)",0.04406256884777004
"CPU OpenMP regions (%)",99.95593743115224
"CPU ",
"CPU Scalar numeric ops (%)",26.759103694197094
"CPU Vector numeric ops (%)",6.829783945269094
"CPU Memory accesses (%)",64.4935743875759
"CPU Advice 1","The per-core performance is memory-bound. Use a profiler to identify time-consuming loops and check their cache performance."
"CPU Advice 2","Little time is spent in vectorized instructions. Check the compiler's vectorization advice to see why key loops could not be vectorized."
"CPU Error",

"MPI Time in collective calls (%)",0.5843071786310517
"MPI Time in point-to-point calls (%)",99.41569282136895
"MPI Effective process collective rate (B/s)",46.6441534783549
"MPI Effective process point-to-point rate (B/s)",14081915782.17942
"MPI Advice 1","Most of the time is spent in point-to-point calls with a high transfer rate. It may be possible to improve this further by overlapping communication and computation or reducing the amount of communication required."
"MPI Advice 2",
"MPI Error",

"I/O Time in reads (%)",0
"I/O Time in writes (%)",0
"I/O Effective process read rate (B/s)",0
"I/O Effective process write rate (B/s)",0
"I/O Advice 1","No time is spent in I/O operations. There's nothing to optimize here!"
"I/O Advice 2",
"I/O Error",

"OpenMP Computation (%)",94.71384858119576
"OpenMP Synchronization (%)",5.286151418804236
"OpenMP Physical core utilization (%)",100
"OpenMP System load (%)",71.87278053977273
"OpenMP Advice 1","OpenMP thread performance looks good. Check the CPU breakdown for advice on improving code efficiency."
"OpenMP Advice 2",
"OpenMP Error",

"Memory Mean process memory usage (B)",94393856767.0303
"Memory Peak process memory usage (B)",137622339584
"Memory Peak node memory usage (%)",71
"Memory Advice 1","The memory usage is high and well-balanced between processes. The only way to further improve memory usage is to reduce the amount of memory required by using a memory debugger to show the most significant allocations."
"Memory Advice 2",
"Memory Error",

"Energy CPU (%)",
"Energy System (%)",100
"Energy Mean node power (W)",295.40427714646466
"Energy Peak node power (W)",374
"Energy Total (Wh)",351.65833333333336
"Energy Advice 1","CPU metrics: Error reading /sys/class/powercap/intel-rapl:0/energy_uj: Permission denied"
"Energy Advice 2",
"Energy Error",

