Name,Value
Executable,qft
Command,"/mnt/lustre/a2fs-work1/work/d35/d35/kubad35/quantum-circuits/build/qft -q 38 -b 32 -m builtin"
"Nodes (nodes)",64
"Physical cores per node (cores/node)",128
"Logical cores per node (cores/node)",256
"Memory per node (B)",269662170752
"Tasks (processes)",64
"Profiled ranks",
"OpenMP threads",128
Machine,nid001384
"Start time","Tue Aug 1 14:16:57 2023"
"Total time (seconds)",375
"Full path",/mnt/lustre/a2fs-work1/work/d35/d35/kubad35/quantum-circuits/build
"Input file",
Notes,
Bound,Compute-bound

"Compute (%)",56.9078125
"MPI (%)",43.0921875
"I/O (%)",0
"Overview advice",

"CPU Single-core code (%)",0.46127234287911323
"CPU OpenMP regions (%)",99.53872765712089
"CPU ",
"CPU Scalar numeric ops (%)",19.34482022263278
"CPU Vector numeric ops (%)",4.501043302035053
"CPU Memory accesses (%)",76.15413647533217
"CPU Advice 1","The per-core performance is memory-bound. Use a profiler to identify time-consuming loops and check their cache performance."
"CPU Advice 2","Little time is spent in vectorized instructions. Check the compiler's vectorization advice to see why key loops could not be vectorized."
"CPU Error",

"MPI Time in collective calls (%)",4.028427426665216
"MPI Time in point-to-point calls (%)",95.97157257333478
"MPI Effective process collective rate (B/s)",7.531852486998445
"MPI Effective process point-to-point rate (B/s)",10650128505.693142
"MPI Advice 1","Most of the time is spent in point-to-point calls with a high transfer rate. It may be possible to improve this further by overlapping communication and computation or reducing the amount of communication required."
"MPI Advice 2",
"MPI Error",

"I/O Time in reads (%)",0
"I/O Time in writes (%)",0
"I/O Effective process read rate (B/s)",0
"I/O Effective process write rate (B/s)",0
"I/O Advice 1","No time is spent in I/O operations. There's nothing to optimize here!"
"I/O Advice 2",
"I/O Error",

"OpenMP Computation (%)",95.05610152374933
"OpenMP Synchronization (%)",4.94389847625067
"OpenMP Physical core utilization (%)",100
"OpenMP System load (%)",57.00623779296875
"OpenMP Advice 1","OpenMP thread performance looks good. Check the CPU breakdown for advice on improving code efficiency."
"OpenMP Advice 2",
"OpenMP Error",

"Memory Mean process memory usage (B)",134746390642.432
"Memory Peak process memory usage (B)",137621196800
"Memory Peak node memory usage (%)",56
"Memory Advice 1","The peak node memory usage is modest. Running with fewer MPI processes and more data on each process may be more efficient."
"Memory Advice 2",
"Memory Error",

"Energy CPU (%)",
"Energy System (%)",100
"Energy Mean node power (W)",283.240453125
"Energy Peak node power (W)",377
"Energy Total (Wh)",1881.7455555555555
"Energy Advice 1","CPU metrics: Error reading /sys/class/powercap/intel-rapl:0/energy_uj: Permission denied"
"Energy Advice 2",
"Energy Error",

