SLURM_JOB_ID,SLURM_JOB_NAME,SLURM_JOB_NUM_NODES,SLURM_NTASKS,SLURM_NTASKS_PER_NODE,SLURM_CPUS_PER_TASK,SLURM_CPU_FREQ_REQ,OMP_NUM_THREADS,PROG,QREG_SIZE,TARGET_IDX,NGATES,RUNTIME,ENERGY
4104348,had-t0n,64,64,1,128,2000000,128,hbench,38,0,50,24.677599999999998,641190
4104350,had-t1n,64,64,1,128,2000000,128,hbench,38,1,50,24.4496,623860
4104352,had-t2n,64,64,1,128,2000000,128,hbench,38,2,50,24.326,627990
4104354,had-t3n,64,64,1,128,2000000,128,hbench,38,3,50,28.7377,734960
4104356,had-t4n,64,64,1,128,2000000,128,hbench,38,4,50,24.5183,633460
4104358,had-t5n,64,64,1,128,2000000,128,hbench,38,5,50,26.849700000000002,691700
4104360,had-t6n,64,64,1,128,2000000,128,hbench,38,6,50,26.8018,670100
4104362,had-t7n,64,64,1,128,2000000,128,hbench,38,7,50,26.0597,654120
4104364,had-t8n,64,64,1,128,2000000,128,hbench,38,8,50,25.7348,659440
4104366,had-t9n,64,64,1,128,2000000,128,hbench,38,9,50,25.9838,658430
4104368,had-t10n,64,64,1,128,2000000,128,hbench,38,10,50,26.18,673630
4104370,had-t11n,64,64,1,128,2000000,128,hbench,38,11,50,24.773400000000002,639680
4104372,had-t12n,64,64,1,128,2000000,128,hbench,38,12,50,24.730700000000002,637650
4104376,had-t13n,64,64,1,128,2000000,128,hbench,38,13,50,25.757900000000003,663580
4104378,had-t14n,64,64,1,128,2000000,128,hbench,38,14,50,25.4635,652170
4104380,had-t15n,64,64,1,128,2000000,128,hbench,38,15,50,24.7047,650780
4104382,had-t16n,64,64,1,128,2000000,128,hbench,38,16,50,24.495,648350
4104384,had-t17n,64,64,1,128,2000000,128,hbench,38,17,50,24.435200000000002,632510
4104386,had-t18n,64,64,1,128,2000000,128,hbench,38,18,50,24.5225,637450
4104388,had-t19n,64,64,1,128,2000000,128,hbench,38,19,50,25.4067,662100
4104390,had-t20n,64,64,1,128,2000000,128,hbench,38,20,50,24.4815,634390
4104392,had-t21n,64,64,1,128,2000000,128,hbench,38,21,50,25.413400000000003,651490
4104394,had-t22n,64,64,1,128,2000000,128,hbench,38,22,50,24.4565,650080
4104396,had-t23n,64,64,1,128,2000000,128,hbench,38,23,50,24.788700000000002,668230
4104398,had-t24n,64,64,1,128,2000000,128,hbench,38,24,50,24.4591,644910
4104414,had-t25n,64,64,1,128,2000000,128,hbench,38,25,50,27.608700000000002,691650
4104416,had-t26n,64,64,1,128,2000000,128,hbench,38,26,50,27.3547,699530
4104418,had-t27n,64,64,1,128,2000000,128,hbench,38,27,50,27.0197,686410
4104420,had-t28n,64,64,1,128,2000000,128,hbench,38,28,50,26.666,691410
4104423,had-t29n,64,64,1,128,2000000,128,hbench,38,29,50,26.7166,701700
4104425,had-t30n,64,64,1,128,2000000,128,hbench,38,30,50,37.054,863490
4104447,had-t31n,64,64,1,128,2000000,128,hbench,38,31,50,48.502900000000004,1120000
4104449,had-t32n,64,64,1,128,2000000,128,hbench,38,32,50,440.777,8130000.000000001
4104451,had-t33n,64,64,1,128,2000000,128,hbench,38,33,50,440.645,8039999.999999999
4104453,had-t34n,64,64,1,128,2000000,128,hbench,38,34,50,441.432,8130000.000000001
4104455,had-t35n,64,64,1,128,2000000,128,hbench,38,35,50,441.141,8100000
4104495,had-t36n,64,64,1,128,2000000,128,hbench,38,36,50,440.875,8050000.000000001
4104498,had-t37n,64,64,1,128,2000000,128,hbench,38,37,50,442.355,8029999.999999999
