SLURM_JOB_ID,SLURM_JOB_NAME,SLURM_JOB_NUM_NODES,SLURM_NTASKS,SLURM_NTASKS_PER_NODE,SLURM_CPUS_PER_TASK,SLURM_CPU_FREQ_REQ,OMP_NUM_THREADS,PROG,QREG_SIZE,TARGET_IDX_1,TARGET_IDX_2,NGATES,RUNTIME,ENERGY
4104651,s-0-35b,64,64,1,128,2000000,128,swapbench,38,0,35,50,485.977,8630000
4104653,s-0-36b,64,64,1,128,2000000,128,swapbench,38,0,36,50,487.708,8790000
4104655,s-0-37b,64,64,1,128,2000000,128,swapbench,38,0,37,50,483.005,8650000
4104657,s-4-35b,64,64,1,128,2000000,128,swapbench,38,4,35,50,474.976,8550000
4104659,s-4-36b,64,64,1,128,2000000,128,swapbench,38,4,36,50,477.59,8540000
4104661,s-4-37b,64,64,1,128,2000000,128,swapbench,38,4,37,50,475.159,8460000
4104663,s-8-35b,64,64,1,128,2000000,128,swapbench,38,8,35,50,466.697,8870000
4104665,s-8-36b,64,64,1,128,2000000,128,swapbench,38,8,36,50,469.235,8440000
4104667,s-8-37b,64,64,1,128,2000000,128,swapbench,38,8,37,50,466.022,8359999.999999999
4104669,s-12-35b,64,64,1,128,2000000,128,swapbench,38,12,35,50,455.397,8180000
4104671,s-12-36b,64,64,1,128,2000000,128,swapbench,38,12,36,50,455.113,8119999.999999999
4104673,s-12-37b,64,64,1,128,2000000,128,swapbench,38,12,37,50,455.94,8029999.999999999
4104675,s-16-35b,64,64,1,128,2000000,128,swapbench,38,16,35,50,452.185,7990000
4104677,s-16-36b,64,64,1,128,2000000,128,swapbench,38,16,36,50,453.941,8279999.999999999
4104679,s-16-37b,64,64,1,128,2000000,128,swapbench,38,16,37,50,454.974,8610000
