SLURM_JOB_ID,SLURM_JOB_NAME,SLURM_JOB_NUM_NODES,SLURM_NTASKS,SLURM_NTASKS_PER_NODE,SLURM_CPUS_PER_TASK,SLURM_CPU_FREQ_REQ,OMP_NUM_THREADS,PROG,QREG_SIZE,TARGET_IDX,NGATES,OUTPUT,HAS_ERRORS
4104347,had-t0b,64,64,1,128,2000000,128,hbench,38,0,50,"Verbose is ON
No. processes: 64
No. qubits: 38
Non-blocking exchange flag: 0
Time taken: 24272.4 ms

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
4104347.0      00:00:28        633.64K ",FALSE
4104349,had-t1b,64,64,1,128,2000000,128,hbench,38,1,50,"Verbose is ON
No. processes: 64
No. qubits: 38
Non-blocking exchange flag: 0
Time taken: 24874.7 ms

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
4104349.0      00:00:29        639.71K ",FALSE
4104351,had-t2b,64,64,1,128,2000000,128,hbench,38,2,50,"Verbose is ON
No. processes: 64
No. qubits: 38
Non-blocking exchange flag: 0
Time taken: 24664.8 ms

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
4104351.0      00:00:29        637.47K ",FALSE
4104353,had-t3b,64,64,1,128,2000000,128,hbench,38,3,50,"Verbose is ON
No. processes: 64
No. qubits: 38
Non-blocking exchange flag: 0
Time taken: 28887.3 ms

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
4104353.0      00:00:34        726.54K ",FALSE
4104355,had-t4b,64,64,1,128,2000000,128,hbench,38,4,50,"Verbose is ON
No. processes: 64
No. qubits: 38
Non-blocking exchange flag: 0
Time taken: 25243.5 ms

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
4104355.0      00:00:28        647.73K ",FALSE
4104357,had-t5b,64,64,1,128,2000000,128,hbench,38,5,50,"Verbose is ON
No. processes: 64
No. qubits: 38
Non-blocking exchange flag: 0
Time taken: 24862.9 ms

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
4104357.0      00:00:28        651.24K ",FALSE
4104359,had-t6b,64,64,1,128,2000000,128,hbench,38,6,50,"Verbose is ON
No. processes: 64
No. qubits: 38
Non-blocking exchange flag: 0
Time taken: 26741 ms

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
4104359.0      00:00:33        671.31K ",FALSE
4104361,had-t7b,64,64,1,128,2000000,128,hbench,38,7,50,"Verbose is ON
No. processes: 64
No. qubits: 38
Non-blocking exchange flag: 0
Time taken: 25441 ms

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
4104361.0      00:00:29        641.42K ",FALSE
4104363,had-t8b,64,64,1,128,2000000,128,hbench,38,8,50,"Verbose is ON
No. processes: 64
No. qubits: 38
Non-blocking exchange flag: 0
Time taken: 25163.9 ms

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
4104363.0      00:00:29        641.58K ",FALSE
4104365,had-t9b,64,64,1,128,2000000,128,hbench,38,9,50,"Verbose is ON
No. processes: 64
No. qubits: 38
Non-blocking exchange flag: 0
Time taken: 25489.5 ms

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
4104365.0      00:00:29        652.47K ",FALSE
