SLURM_JOB_ID,SLURM_JOB_NAME,SLURM_JOB_NUM_NODES,SLURM_NTASKS,SLURM_NTASKS_PER_NODE,SLURM_CPUS_PER_TASK,SLURM_CPU_FREQ_REQ,OMP_NUM_THREADS,PROG,QREG_SIZE,TARGET_IDX_1,TARGET_IDX_2,NGATES,OUTPUT,HAS_ERRORS
4104651,s-0-35b,64,64,1,128,2000000,128,swapbench,38,0,35,50,"Verbose is ON
No. processes: 64
No. qubits: 38
Non-blocking exchange flag: 0
Optimised SWAP flag: 0
Time taken: 485977 ms

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
4104651.0      00:08:12          8.63M ",FALSE
4104653,s-0-36b,64,64,1,128,2000000,128,swapbench,38,0,36,50,"Verbose is ON
No. processes: 64
No. qubits: 38
Non-blocking exchange flag: 0
Optimised SWAP flag: 0
Time taken: 487708 ms

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
4104653.0      00:08:14          8.79M ",FALSE
4104655,s-0-37b,64,64,1,128,2000000,128,swapbench,38,0,37,50,"Verbose is ON
No. processes: 64
No. qubits: 38
Non-blocking exchange flag: 0
Optimised SWAP flag: 0
Time taken: 483005 ms

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
4104655.0      00:08:10          8.65M ",FALSE
4104657,s-4-35b,64,64,1,128,2000000,128,swapbench,38,4,35,50,"Verbose is ON
No. processes: 64
No. qubits: 38
Non-blocking exchange flag: 0
Optimised SWAP flag: 0
Time taken: 474976 ms

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
4104657.0      00:08:01          8.55M ",FALSE
4104659,s-4-36b,64,64,1,128,2000000,128,swapbench,38,4,36,50,"Verbose is ON
No. processes: 64
No. qubits: 38
Non-blocking exchange flag: 0
Optimised SWAP flag: 0
Time taken: 477590 ms

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
4104659.0      00:08:04          8.54M ",FALSE
4104661,s-4-37b,64,64,1,128,2000000,128,swapbench,38,4,37,50,"Verbose is ON
No. processes: 64
No. qubits: 38
Non-blocking exchange flag: 0
Optimised SWAP flag: 0
Time taken: 475159 ms

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
4104661.0      00:08:01          8.46M ",FALSE
4104663,s-8-35b,64,64,1,128,2000000,128,swapbench,38,8,35,50,"Verbose is ON
No. processes: 64
No. qubits: 38
Non-blocking exchange flag: 0
Optimised SWAP flag: 0
Time taken: 466697 ms

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
4104663.0      00:07:56          8.87M ",FALSE
4104665,s-8-36b,64,64,1,128,2000000,128,swapbench,38,8,36,50,"Verbose is ON
No. processes: 64
No. qubits: 38
Non-blocking exchange flag: 0
Optimised SWAP flag: 0
Time taken: 469235 ms

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
4104665.0      00:08:00          8.44M ",FALSE
4104667,s-8-37b,64,64,1,128,2000000,128,swapbench,38,8,37,50,"Verbose is ON
No. processes: 64
No. qubits: 38
Non-blocking exchange flag: 0
Optimised SWAP flag: 0
Time taken: 466022 ms

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
4104667.0      00:07:55          8.36M ",FALSE
4104669,s-12-35b,64,64,1,128,2000000,128,swapbench,38,12,35,50,"Verbose is ON
No. processes: 64
No. qubits: 38
Non-blocking exchange flag: 0
Optimised SWAP flag: 0
Time taken: 455397 ms

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
4104669.0      00:07:47          8.18M ",FALSE
4104671,s-12-36b,64,64,1,128,2000000,128,swapbench,38,12,36,50,"Verbose is ON
No. processes: 64
No. qubits: 38
Non-blocking exchange flag: 0
Optimised SWAP flag: 0
Time taken: 455113 ms

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
4104671.0      00:07:42          8.12M ",FALSE
4104673,s-12-37b,64,64,1,128,2000000,128,swapbench,38,12,37,50,"Verbose is ON
No. processes: 64
No. qubits: 38
Non-blocking exchange flag: 0
Optimised SWAP flag: 0
Time taken: 455940 ms

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
4104673.0      00:07:42          8.03M ",FALSE
4104675,s-16-35b,64,64,1,128,2000000,128,swapbench,38,16,35,50,"Verbose is ON
No. processes: 64
No. qubits: 38
Non-blocking exchange flag: 0
Optimised SWAP flag: 0
Time taken: 452185 ms

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
4104675.0      00:07:40          7.99M ",FALSE
4104677,s-16-36b,64,64,1,128,2000000,128,swapbench,38,16,36,50,"Verbose is ON
No. processes: 64
No. qubits: 38
Non-blocking exchange flag: 0
Optimised SWAP flag: 0
Time taken: 453941 ms

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
4104677.0      00:07:39          8.28M ",FALSE
4104679,s-16-37b,64,64,1,128,2000000,128,swapbench,38,16,37,50,"Verbose is ON
No. processes: 64
No. qubits: 38
Non-blocking exchange flag: 0
Optimised SWAP flag: 0
Time taken: 454974 ms

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
4104679.0      00:07:41          8.61M ",FALSE
